FIPS,County,DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate
24015.000,90083,188169,194441,76785.333,1.433,9.733,9.900,40.600,4.333
24017.000,174379,383201,92011,76464.600,4.440,12.340,7.880,29.600,4.400
24019.000,48056,21481,34827,62270.000,-1.350,12.350,9.950,26.150,5.250
24021.000,183211,277007,251700,92531.000,6.900,11.760,7.280,41.240,3.900
24023.000,78100,4714,19690,45574.000,-0.400,10.000,11.800,17.750,5.700
24025.000,48054,47981,78859,68902.500,2.050,9.350,11.100,35.000,4.550
24027.000,48060,407435,74082,99033.000,1.150,12.500,5.800,47.050,3.900
24029.000,24029,4178,4598,54210.000,3.500,7.800,13.900,34.200,4.900
24031.000,126153,505415,119078,107308.000,5.700,13.833,4.600,56.033,3.433
24033.000,75543,370774,42531,83251.000,1.050,15.950,5.550,47.400,3.700
24037.000,75230,19509,31220,64516.000,3.700,12.150,10.050,25.900,4.450
24043.000,147227,118799,124905,84552.000,11.700,11.233,8.900,33.033,4.233
24510.000,24510,178562,22726,46604.000,-13.600,13.900,10.500,31.200,6.600
25001.000,25023,133828,114722,81483.000,4.200,10.200,9.000,36.700,4.100
25003.000,111097,63947,48185,57235.667,-2.033,9.467,10.700,34.333,3.867
25005.000,69030,275425,205043,66747.000,1.800,10.900,8.900,32.400,4.800
25007.000,25019,4144,1892,82324.000,7.700,14.800,6.300,51.700,4.400
25009.000,58036,340560,149915,68682.000,5.300,11.100,6.950,41.050,3.250
25011.000,108019,55972,33128,55273.000,-2.433,8.933,10.833,35.167,3.333
25017.000,58036,340560,149915,68682.000,5.300,11.100,6.950,41.050,3.250
25019.000,25019,4144,1892,82324.000,7.700,14.800,6.300,51.700,4.400
25021.000,94055,516637,255085,64953.667,3.600,11.233,7.900,36.533,4.367
25023.000,50048,375040,164764,71425.000,5.700,11.050,7.450,40.750,3.800
25025.000,25025,241212,50042,61367.000,7.200,11.900,5.900,44.800,3.500
25027.000,110023,263009,207070,61764.667,-0.133,10.233,8.800,32.667,3.733
26001.000,104196,12239,25133,39243.500,5.500,7.875,16.025,15.575,7.725
26003.000,156478,26713,33469,44295.333,-5.600,8.167,12.100,22.150,7.467
26005.000,104236,140459,194496,59375.750,3.950,11.750,8.025,28.600,3.825
26007.000,78267,8563,17074,40945.667,1.367,8.233,14.933,15.867,8.500
26009.000,130339,34046,54919,49601.200,3.520,9.640,11.420,24.200,6.080
26011.000,78097,28223,41375,42930.333,-2.233,9.100,13.900,15.667,6.967
26013.000,52116,17198,16804,47434.000,-5.750,8.750,11.000,23.000,6.950
26015.000,78159,84457,86602,54857.000,1.900,11.500,8.567,24.767,4.067
26017.000,52128,37296,52204,52128.500,-4.800,10.050,10.550,26.450,5.050
26019.000,214430,46136,65066,52066.333,4.833,9.717,11.033,25.583,5.300
26021.000,52048,36766,52887,49383.500,-2.050,10.200,10.500,23.400,4.850
26023.000,78249,79411,76942,49987.333,-1.833,12.400,9.700,22.667,4.300
26025.000,78301,100466,105710,50816.667,-2.067,12.000,9.867,25.067,4.300
26027.000,78253,81941,80158,51057.000,-0.100,11.433,9.500,24.300,4.267
26029.000,156494,23421,42532,46927.333,0.083,8.683,11.917,24.500,7.700
26031.000,156572,20601,39286,44373.667,2.633,8.533,13.417,21.717,8.533
26033.000,104366,10544,19102,42983.750,-3.700,7.900,13.175,19.100,8.400
26035.000,104422,26897,47861,43751.750,-0.450,9.525,12.950,18.700,6.525
26037.000,52124,13871,26252,46512.500,-4.350,10.500,9.750,15.050,4.700
26039.000,130517,13518,30472,42506.600,3.540,8.800,14.280,16.520,7.820
26041.000,133326,31868,36898,48424.250,-6.150,8.850,11.725,25.225,6.575
26043.000,107183,20631,25123,48159.667,-4.333,8.867,12.433,25.433,5.600
26045.000,52142,34001,56167,50596.000,-3.650,11.250,9.750,18.750,4.500
26047.000,52144,9057,14356,47004.500,-1.150,8.450,12.750,27.750,8.150
26049.000,78229,149856,179876,59880.333,-0.267,10.100,9.267,24.500,5.400
26051.000,52254,19942,32018,48171.500,0.700,8.450,13.200,24.450,6.550
26053.000,110054,5409,5518,41773.000,-6.500,8.400,13.300,20.550,6.450
26055.000,104400,32658,50540,48282.250,4.100,10.275,11.700,21.225,5.950
26057.000,78235,29526,50129,50517.000,-4.133,10.367,9.600,21.367,4.700
26059.000,91337,46832,77927,51439.000,-2.567,11.067,10.800,19.100,4.633
26061.000,52186,16569,15460,46740.000,-0.600,9.000,10.450,30.950,7.150
26063.000,52220,9217,21790,41650.000,2.300,9.700,13.900,15.250,6.750
26065.000,52168,60173,105458,65098.500,-0.450,10.300,9.250,28.100,4.450
26067.000,26067,8206,16374,50383.000,-1.100,11.500,8.500,16.100,4.200
26069.000,26069,4344,8344,39721.000,5.200,8.900,16.300,16.300,7.300
26071.000,136181,18291,19330,46819.000,-1.633,9.533,12.967,21.800,5.933
26073.000,52244,18360,31213,49772.000,-1.400,10.250,10.300,23.900,5.200
26075.000,104420,204948,182221,62243.750,1.425,10.300,8.825,33.075,4.300
26077.000,52226,74671,65917,50820.500,0.000,12.500,9.300,26.900,4.050
26079.000,104524,14558,32620,44197.250,6.275,9.825,13.275,17.225,6.825
26081.000,52262,52488,105630,56112.500,1.800,11.550,8.750,24.700,4.150
26083.000,52186,16569,15460,46740.000,-0.600,9.000,10.450,30.950,7.150
26085.000,182839,29525,58317,42621.857,3.771,10.529,11.486,17.271,6.214
26087.000,52238,17607,43483,49829.000,-1.000,9.750,10.500,16.000,6.350
26089.000,81182,9395,11140,49590.500,-4.750,8.100,12.400,23.950,7.050
26091.000,78367,171634,120018,60246.667,1.633,10.167,8.667,31.733,4.200
26093.000,52254,162403,116000,72714.000,5.200,9.850,6.750,45.000,3.900
26095.000,78345,4135,8052,42550.333,-8.067,7.533,13.767,17.967,8.533
26097.000,78391,5854,10782,43084.667,-5.167,7.800,13.833,18.300,9.467
26099.000,26163,517022,228313,43570.000,-5.600,13.200,10.300,23.300,6.300
26101.000,188503,32882,55270,49733.400,2.240,10.280,10.820,20.020,5.220
26103.000,26103,16042,14646,50681.000,-11.500,9.600,10.100,31.500,5.700
26105.000,133426,30029,54141,47481.000,0.100,10.800,10.950,19.450,5.575
26107.000,52256,8917,22510,44119.500,-0.350,10.800,11.100,14.850,5.300
26109.000,55029,8026,8584,56298.000,5.000,8.400,12.500,32.100,5.000
26111.000,26111,15655,23877,58526.000,-3.700,10.100,9.300,34.000,4.700
26113.000,78441,11428,25477,39773.333,3.633,9.767,13.167,15.533,6.633
26115.000,78439,671906,321903,57190.667,-0.733,11.067,8.500,32.533,4.767
26117.000,26123,6212,15174,47221.000,-1.600,11.200,10.900,15.900,4.900
26119.000,78397,7242,16250,43522.000,4.100,8.667,14.333,18.100,8.500
26121.000,133478,76628,143316,60094.250,1.725,11.025,9.375,29.150,4.725
26123.000,78383,12890,29738,43561.667,-0.533,11.067,11.033,16.167,5.967
26125.000,52324,645047,278648,54805.000,-0.250,11.650,8.150,39.250,5.000
26127.000,81216,24140,37686,64076.000,1.650,10.500,10.000,33.600,5.300
26129.000,26143,4287,8141,37817.000,5.100,6.800,17.100,14.900,8.400
26131.000,55003,4136,3428,41949.000,-11.100,11.500,11.300,21.100,5.400
26133.000,52298,7141,17336,40751.500,2.900,11.250,11.200,15.850,5.750
26135.000,52280,7843,16407,43939.000,7.650,8.600,14.250,19.550,7.150
26137.000,26137,3556,8266,50061.000,10.200,10.400,11.400,24.200,5.900
26139.000,26139,46276,90456,65004.000,5.200,11.900,6.600,33.500,3.400
26141.000,26141,2400,4486,43484.000,2.000,7.800,14.800,17.300,9.500
26143.000,26143,4287,8141,37817.000,5.100,6.800,17.100,14.900,8.400
26147.000,26151,4873,13446,43579.000,-0.600,10.500,11.500,14.200,6.200
26149.000,26149,7529,14886,48271.000,-1.900,12.800,10.700,15.700,4.100
26151.000,26151,4873,13446,43579.000,-0.600,10.500,11.500,14.200,6.200
26153.000,26153,1369,2556,42883.000,-14.500,7.800,12.300,15.800,9.100
26161.000,52324,645047,278648,54805.000,-0.250,11.650,8.150,39.250,5.000
26163.000,26163,517022,228313,43570.000,-5.600,13.200,10.300,23.300,6.300
26165.000,26165,4436,10000,40485.000,4.900,12.100,11.100,17.900,5.800
27001.000,135433,73334,76374,51091.400,2.080,10.560,10.920,19.100,6.140
27003.000,108314,328793,246989,75611.750,2.900,12.225,6.675,33.825,3.725
27005.000,54086,4532,10194,46463.000,2.550,11.100,10.400,21.650,8.050
27007.000,162316,21540,38167,49205.000,0.783,12.183,9.467,22.150,6.850
27009.000,54192,7346,21265,52414.500,2.850,12.500,11.150,16.200,5.750
27011.000,200626,7856,12942,50865.167,-2.300,11.900,11.950,18.983,4.067
27013.000,108150,24967,38216,55626.250,-0.800,11.400,9.900,23.550,4.175
27015.000,27015,3763,8708,56049.000,0.300,11.400,10.700,20.400,4.200
27017.000,109283,73691,62479,50486.000,-2.733,9.533,10.467,22.400,5.567
27019.000,81247,28440,46405,71142.667,1.333,11.300,8.933,27.567,4.000
27021.000,81175,12018,30176,50045.333,4.967,11.333,10.167,22.233,6.300
27023.000,27151,1679,2962,50954.000,8.000,11.000,11.800,18.000,5.400
27025.000,108368,83272,96291,66993.000,1.425,10.275,8.600,23.200,4.975
27027.000,65244,2957,6888,56964.500,-3.450,11.600,10.650,22.550,2.950
27029.000,108318,11390,23173,49135.750,0.700,12.125,10.000,21.875,6.525
27031.000,82078,7213,6360,52347.500,-4.950,10.650,12.200,25.450,5.900
27033.000,54206,4028,8273,54221.000,-5.950,14.350,9.600,17.100,4.250
27035.000,54192,7346,21265,52414.500,2.850,12.500,11.150,16.200,5.750
27037.000,108454,368703,250260,74469.750,2.700,12.525,6.625,38.600,3.450
27039.000,81269,24983,30782,63088.667,1.300,12.300,8.200,24.533,3.467
27041.000,81241,9447,18829,54903.333,3.300,11.667,10.700,24.700,3.733
27043.000,54090,8194,13467,49059.500,-4.750,11.350,12.000,17.250,4.100
27045.000,81323,22955,26564,56000.667,-0.300,10.800,9.633,25.167,3.533
27047.000,54146,13485,17634,51122.500,-1.750,12.000,11.000,19.200,3.500
27049.000,109379,19648,24646,61367.667,1.400,11.233,8.833,22.867,3.667
27051.000,108522,4744,8042,53560.500,-3.550,11.175,11.700,22.300,3.700
27053.000,27123,176929,70778,60287.000,2.600,14.400,7.600,41.900,3.600
27055.000,54224,15511,17738,57350.000,-0.100,9.800,9.050,26.900,3.700
27057.000,27057,3432,7269,49129.000,2.000,10.300,9.600,27.200,6.500
27059.000,81275,10616,21761,51905.333,0.233,10.533,11.100,14.800,6.067
27061.000,27137,57769,44631,50156.000,-1.100,9.900,10.500,28.700,5.700
27063.000,27105,2733,5299,56069.000,-2.600,17.100,6.900,15.300,3.800
27065.000,81275,10616,21761,51905.333,0.233,10.533,11.100,14.800,6.067
27067.000,27151,1679,2962,50954.000,8.000,11.000,11.800,18.000,5.400
27069.000,54158,2048,4557,52331.500,-11.100,10.350,11.350,21.450,5.950
27071.000,27137,57769,44631,50156.000,-1.100,9.900,10.500,28.700,5.700
27073.000,119241,3219,6709,53196.333,-2.833,11.800,11.900,19.667,4.500
27075.000,219253,81277,64773,51171.400,-2.380,9.800,11.580,26.820,5.920
27079.000,81353,21014,29804,64051.667,-1.233,11.100,9.000,22.200,4.233
27081.000,119223,5437,10351,54079.000,-4.033,14.067,9.600,23.333,4.067
27083.000,54184,5120,10230,52681.000,-4.650,13.150,10.400,22.150,4.150
27085.000,54228,6932,17348,59685.500,-3.300,10.950,10.900,17.300,4.350
